CVE_ENT,ENT,CVE_MUN,MUN,POB_TOT,ANALF,SPRIM,OVSDE,OVSEE,OVSAE,VHAC,OVPT,PL<5000,PO2SM,IM,GM
9,Distrito Federal,9007,Iztapalapa,1827868,1.82,8.1,0.02,0.06,0.86,24.07,0.57,0,34.04,-1.627,Muy bajo
9,Distrito Federal,9005,Gustavo A. Madero,1164477,1.77,7.25,0.06,0.05,0.35,21.12,0.25,0,31.03,-1.728,Muy bajo
9,Distrito Federal,9010,çlvaro Obreg—n,749982,1.64,7.51,0.03,0.01,0.53,20.47,0.28,0.05,26.52,-1.779,Muy bajo
9,Distrito Federal,9012,Tlalpan,677104,1.75,7.26,0.05,0.05,2.65,19.68,0.75,1.78,28,-1.738,Muy bajo
9,Distrito Federal,9003,Coyoac‡n,608479,0.98,4.81,0,0.01,0.07,12.04,0.16,0,24.46,-1.994,Muy bajo
9,Distrito Federal,9015,CuauhtŽmoc,532553,0.85,4.42,0.02,0,0.26,14.96,0.33,0,24.81,-1.951,Muy bajo
9,Distrito Federal,9017,Venustiano Carranza,427263,0.95,5.21,0.02,0.02,0.13,20.64,0.26,0,29.02,-1.811,Muy bajo
9,Distrito Federal,9014,Benito Ju‡rez,417416,0.67,2.49,0.03,0.01,0.01,7.28,0.03,0,12.67,-2.228,Muy bajo
9,Distrito Federal,9013,Xochimilco,415933,1.9,8.19,0.08,0.19,6.77,24.5,1.53,1.72,33.77,-1.527,Muy bajo
9,Distrito Federal,9002,Azcapotzalco,400161,1.43,6.41,0,0,0.21,16.56,0.29,0,25.97,-1.871,Muy bajo
9,Distrito Federal,9006,Iztacalco,390348,0.89,5.26,0.05,0,0.07,17.1,0.15,0,27.26,-1.885,Muy bajo
9,Distrito Federal,9016,Miguel Hidalgo,364439,0.7,3.83,0.01,0,0.03,10.45,0.06,0,15.42,-2.131,Muy bajo
9,Distrito Federal,9011,Tl‡huac,361593,1.93,7.99,0.01,0.03,1.01,25.42,0.71,2.27,39.92,-1.537,Muy bajo
9,Distrito Federal,9008,La Magdalena Contreras,243886,1.9,8.4,0.05,0.02,0.8,24.61,1.08,0.27,28.51,-1.657,Muy bajo
9,Distrito Federal,9004,Cuajimalpa de Morelos,199224,1.65,7.05,0.13,0.14,0.65,19.33,0.79,1.54,22.17,-1.822,Muy bajo
9,Distrito Federal,9009,Milpa Alta,137927,2.92,10.48,0.26,0.35,12.79,35.68,1.99,21.61,44.85,-1.029,Bajo
