entidad,cve_mun,delegación,Población,Población_hombres,Población_mujeres,Edad_mediana_total,Edad_mediana_hombres,Edad_mediana_mujeres,Relación_hombres-mujeres
Distrito Federal,010,Álvaro Obregón,"727,034","346,041","380,993",30,29,32,90.83
Distrito Federal,002,Azcapotzalco,"414,711","196,053","218,658",33,31,35,89.66
Distrito Federal,014,Benito Juárez,"385,439","176,410","209,029",36,35,38,84.39
Distrito Federal,003,Coyoacán,"620,416","292,491","327,925",34,32,35,89.19
Distrito Federal,004,Cuajimalpa de Morelos,"186,391","88,642","97,749",28,27,28,90.68
Distrito Federal,015,Cuauhtémoc,"531,831","251,725","280,106",33,31,34,89.87
Distrito Federal,005,Gustavo A. Madero,"1,185,772","571,233","614,539",31,30,33,92.95
Distrito Federal,006,Iztacalco,"384,326","182,534","201,792",32,31,34,90.46
Distrito Federal,007,Iztapalapa,"1,815,786","880,998","934,788",28,27,29,94.25
Distrito Federal,008,La Magdalena Contreras,"239,086","114,492","124,594",30,28,31,91.89
Distrito Federal,016,Miguel Hidalgo,"372,889","172,667","200,222",34,33,35,86.24
Distrito Federal,009,Milpa Alta,"130,582","64,192","66,390",26,25,27,96.69
Distrito Federal,011,Tláhuac,"360,265","175,210","185,055",27,26,28,94.68
Distrito Federal,012,Tlalpan,"650,567","312,139","338,428",30,28,31,92.23
Distrito Federal,017,Venustiano Carranza,"430,978","203,651","227,327",32,30,34,89.59
Distrito Federal,013,Xochimilco,"415,007","205,305","209,702",28,28,29,97.9
